InvoiceID,OrderID,ProductID,Quantity,Buyer,InvoiceDate,DueDate,Amount,Status
INV-70555,ORD81817,PRD-2792,57,Wallenius Wilhelmsen’s ,11-12-24,29-10-24,41926.09,Paid
INV-13735,ORD81818,PRD-4659,64,Wallenius Wilhelmsen’s ,12-08-24,05-02-24,10334.26,Overdue
INV-90721,ORD81819,PRD-5476,90,Wallenius Wilhelmsen’s ,06-03-24,20-02-24,34002.75,Overdue
INV-66939,ORD81820,PRD-8478,74,Wallenius Wilhelmsen’s ,27-04-24,04-06-24,36429.85,Pending
INV-66188,ORD81821,PRD-2792,49,K Line (Kawasaki Kisen Kaisha),27-10-24,26-01-24,25075.96,Paid
INV-52159,ORD81822,PRD-4444,100,MOL (Mitsui O.S.K. Lines),31-12-23,03-01-24,24020.69,Paid
INV-56074,ORD81823,PRD-5266,56,COSCO Shipping,08-02-24,11-07-24,19705.83,Paid
INV-39376,ORD81824,PRD-5259,66,MOL (Mitsui O.S.K. Lines),10-10-24,05-05-24,14115.1,Paid
INV-89269,ORD81825,PRD-8585,82,MOL (Mitsui O.S.K. Lines),04-07-24,03-09-24,40792.45,Overdue
INV-85169,ORD81826,PRD-7772,42,K Line (Kawasaki Kisen Kaisha),10-03-24,11-08-24,6599.8,Paid
INV-25449,ORD81827,PRD-7772,96,MOL (Mitsui O.S.K. Lines),08-09-24,04-12-24,3337.35,Overdue
INV-63350,ORD81828,PRD-7772,50,MOL (Mitsui O.S.K. Lines),20-08-24,02-02-24,5893.3,Overdue
INV-51909,ORD81829,PRD-4444,100,Wallenius Wilhelmsen’s ,09-08-24,16-12-24,12155.95,Pending
INV-70060,ORD81830,PRD-2792,80,Wallenius Wilhelmsen’s ,28-09-24,21-01-24,32951.73,Overdue
